pid,n_covered,ei_mean,ei_median,ei_std,excit_density,inhib_density,n_voxels,coverage,division,structure,acronym
1113,812,1.0,1.0,0.0,0.60859495,0.0,4410,0.18412698412698414,HY,TMd,TMd
1315,895,1.0,1.0,0.0,0.5060323,0.0,4809,0.18610937824911625,HY,MM,MMp
722,4535,0.9998992,1.0,0.00483031,0.34655982,9.425624e-06,9524,0.4761654766904662,HY,MM,MMme
1314,8358,0.999347,1.0,0.020198788,0.35963124,3.452726e-05,16939,0.4934175571167129,HY,MM,MMm
59,9867,0.999113,1.0,0.024808545,0.3838875,9.559671e-05,20143,0.48984758973340614,TH,AD,AD
1102,6325,0.9989113,1.0,0.029978419,0.18798853,7.176763e-05,14032,0.4507554161915621,TH,IAD,IAD
182,4698,0.9985792,1.0,0.033370536,0.26838186,6.14746e-05,11358,0.41362916006339145,TH,RH,RH
919,3100,0.9963901,1.0,0.02360611,0.3214186,0.0022065109,6737,0.4601454653406561,Isocortex,SSp-n,SSp-n6b
589,10981,0.9962116,1.0,0.058027525,0.22735575,0.00011913801,31227,0.35165081499983986,TH,CM,CM
1302,4254,0.99520123,1.0,0.042949528,0.26778182,0.0011348226,10957,0.3882449575613763,TH,Xi,Xi
970,3443,0.9906599,1.0,0.09600477,0.45547217,0.00021148397,16481,0.20890722650324617,HY,PMd,PMd
897,10017,0.98538256,1.0,0.110258356,0.15989429,0.00081931544,29842,0.3356678506802493,TH,PCN,PCN
174,19774,0.98532313,1.0,0.09581129,0.22334445,0.0030349793,53049,0.37274972195517353,TH,RE,RE
1061,7919,0.984402,1.0,0.11665225,0.23888846,0.0012499624,21584,0.3668921423276501,TH,MG,MGd
1085,12455,0.9828463,1.0,0.11412789,0.1451651,0.0020644602,30473,0.40872247563416797,TH,AM,AMd
315,7001,0.9813404,1.0,0.110547304,0.20697334,0.002110038,22587,0.3099570549431089,TH,SGN,SGN
1305,1036,0.97767895,1.0,0.13687427,0.1444615,0.0040544523,2820,0.36737588652482267,TH,IntG,IntG
1009,64600,0.9775557,1.0,0.1309643,0.17369781,0.001571657,156601,0.4125133300553636,TH,PO,PO
723,87215,0.97500646,1.0,0.13426198,0.17726643,0.0024360018,205628,0.4241397085999961,TH,VPM,VPM
352,65350,0.97493243,1.0,0.14191604,0.21501938,0.0017394712,172705,0.3783908977736603,TH,MD,MD
2,6398,0.9744772,1.0,0.13683014,0.3064634,0.008754014,14221,0.44989803811265033,Isocortex,SSp-m,SSp-m6b
565,16905,0.97419184,1.0,0.14185709,0.23251873,0.0026785587,45133,0.37455963485697824,TH,CL,CL
774,2952,0.9712345,1.0,0.15210228,0.10093801,0.0019511656,10658,0.2769750422218052,lfbs,cst,cst-unassigned
356,13194,0.9704996,1.0,0.14662236,0.1586067,0.002389264,38315,0.34435599634607855,TH,SMT,SMT
150,44061,0.96855754,1.0,0.1602575,0.21283978,0.010388913,127063,0.34676499059521654,TH,LD,LD
13,12184,0.9679337,1.0,0.15602969,0.25510135,0.002903825,28742,0.42390926170760557,TH,PT,PT
248,22627,0.96608776,1.0,0.1583282,0.16833377,0.010439988,51948,0.43557018557018556,TH,AV,AV
54,8646,0.9655212,1.0,0.16006792,0.21747813,0.0035940143,22055,0.39201995012468827,TH,IMD,IMD
1108,2458,0.96247226,1.0,0.16573614,0.26015514,0.0030885676,5350,0.4594392523364486,TH,IAM,IAM
1313,8817,0.9597228,1.0,0.18205045,0.34374118,0.0028032053,26608,0.3313665063138906,HY,MM,MMl
78,19767,0.95833224,1.0,0.1815917,0.16827932,0.0038669228,63994,0.3088883332812451,MY,IO,IO
619,34633,0.9566666,1.0,0.1922164,0.12161082,0.012224329,102209,0.33884491580976234,TH,VAL,VAL
473,13993,0.95551056,1.0,0.20232815,0.4568268,0.012584747,39993,0.3498862300902658,TH,MH,MH
1295,647,0.9549454,1.0,0.13308428,0.1024091,0.006099962,2042,0.3168462291870715,MB,MA3,MA3
715,5366,0.95494384,1.0,0.1725717,0.13726266,0.004928763,12353,0.4343884076742492,TH,VPLpc,VPLpc
1018,8872,0.95382196,1.0,0.16090508,0.16879855,0.00931529,25690,0.3453483845854418,TH,POL,POL
179,11852,0.9527057,1.0,0.18478976,0.25024405,0.00590203,43031,0.27542934163742416,TH,LH,LH
144,25007,0.9526843,1.0,0.19817716,0.3933887,0.0051441505,55571,0.4500008997498695,TH,PVT,PVT
1068,12930,0.9525711,1.0,0.17175333,0.17614006,0.012335366,34627,0.3734080341929708,TH,MG,MGv
675,42941,0.94785595,1.0,0.2019695,0.11170466,0.013657604,116262,0.36934682011319264,TH,VM,VM
920,25841,0.94683814,1.0,0.20719467,0.2229928,0.008042221,60777,0.42517728746071703,TH,PF,PF
142,806,0.9466052,1.0,0.19469233,0.20493478,0.004983718,1862,0.43286788399570353,P,LC,LC
1300,9637,0.9409316,1.0,0.20059545,0.14958921,0.0071996944,29413,0.3276442389419644,TH,Eth,Eth
1077,10041,0.9392872,1.0,0.20341712,0.14588353,0.016047347,31233,0.32148688886754395,TH,MG,MGm
320,1199,0.9378152,1.0,0.18577768,0.26164886,0.010433389,4001,0.29967508122969255,Isocortex,RSPd,RSPd6b
639,1010,0.9305903,1.0,0.14984123,0.33639154,0.022326726,2778,0.36357091432685384,Isocortex,VISal,VISal6b
921,43705,0.9289288,1.0,0.25551367,0.22023894,0.012248588,120618,0.3623422706395397,P,PG,PG
1221,775,0.9283099,1.0,0.20151815,0.2766655,0.016363773,1994,0.38866599799398194,Isocortex,VISli,VISli6b
236,1607,0.9279112,1.0,0.16783954,0.30986607,0.01890777,3834,0.4191444966092853,Isocortex,AUDd,AUDd6b
965,1224,0.9277886,1.0,0.19752555,0.10348859,0.009374593,3176,0.3853904282115869,MB,EW,EW
412,4112,0.9250243,1.0,0.24440962,0.11457133,0.006010682,16927,0.24292550363324866,TH,SPFp,SPFp
1304,7548,0.9234119,1.0,0.22429621,0.12300951,0.008780023,34948,0.21597802449353326,TH,PoT,PoT
1206,1161,0.922764,1.0,0.17521064,0.2969979,0.022901218,3062,0.3791639451338994,Isocortex,SSp-un,SSp-un6b
153,2178,0.9217787,1.0,0.19752601,0.15170045,0.01670539,6583,0.3308521950478505,cm,IIIn,pc
211,56464,0.9213819,1.0,0.23293039,0.19641796,0.008854806,150307,0.37565782032772926,TH,LP,LP
1214,2232,0.9201557,1.0,0.18084323,0.33173347,0.023216037,5053,0.44171779141104295,Isocortex,VISa,VISa6b
591,4783,0.92005193,0.99973017,0.15140705,0.38032943,0.031753927,13967,0.3424500608577361,Isocortex,VISal,VISal6a
